2619,af0ca00c,6174,af0ca00c
2619,af0ca00c,4520,a60d3b0d
6174,af0ca00c,4520,a60d3b0d
1828,a40cb80f,2110,a40cb80f
2366,aa0a7f0d,2367,aa0a810d
2187,a60a950d,2418,ab0a950d
1866,ad0bec0c,2530,ad0bec0c
2577,ae0e160c,2581,ae0e490c
2890,a609550f,2891,a609560f
2957,a70ef00c,3106,ab0edd0c
3096,ab0c630c,3123,ac0c630c
2813,a40b200d,3155,ad0b1e0d
3086,ab07fc0e,3215,af07ef0e
2139,a50a430c,3296,a00a430c
2139,a50a430c,4271,a50a430c
3296,a00a430c,4271,a50a430c
7201,a40f020c,8536,ab0f6d0b
7201,a40f020c,3134,ac0ead0c
7201,a40f020c,6210,af0e970c
7201,a40f020c,11531,ae0e990c
8536,ab0f6d0b,3134,ac0ead0c
8536,ab0f6d0b,6210,af0e970c
8536,ab0f6d0b,11531,ae0e990c
2004,a20b090c,3710,a20b090c
3529,a10b920d,4114,a40b920d
3539,a10c230d,4190,a40fb30d
3678,a20a200d;a50a200d,4266,a20a200d;a50a200d
3678,a20a200d;a50a200d,6690,a20a200d
4266,a20a200d;a50a200d,6690,a20a200d
4297,a50b630d,4306,a50bc90d
4297,a50b630d,8636,ac0bbf0d
4306,a50bc90d,8636,ac0bbf0d
3670,a209c80c,4441,a609fc0c
3670,a209c80c,8151,a90e010c
3670,a209c80c,7769,a70deb0c
3670,a209c80c,7515,a60b490d
4441,a609fc0c,8151,a90e010c
4441,a609fc0c,7769,a70deb0c
4441,a609fc0c,7515,a60b490d
3222,af0a7d0d,4451,a60a7d0d
4563,a610290b,5122,a90f160b
2026,a308210c,4601,a708480c
2026,a308210c,8410,ab09270c
4601,a708480c,8410,ab09270c
2823,a40d2f0e,4684,a70c390d
4709,a70d600c,4710,a70d610c
4179,a40ecc0d,4732,a70f0b0d
4179,a40ecc0d,4911,a80f040d
4732,a70f0b0d,4911,a80f040d
2252,a70f160c,4733,a70f160c
5238,aa0c6a0d,8297,aa0c6a0d
4588,a611f70d,4774,a7120d0d
4291,a50b100e,4905,a80e690e
2317,a909860e,4988,a909860e
5921,ae0a070d,8423,ab0a2d0d
6354,a00c1c0b,8424,ab0a300b
5010,a90ac60c,5205,aa0ac60c
7540,a60c1a0c,8823,ad0c2b0c
7540,a60c1a0c,7542,a60c1f0c
8823,ad0c2b0c,7542,a60c1f0c
